AFGHANISTAN,KABUL,Afghanistan
SAINT KITTS and NEVIS,BASSETERRE,St Kitts Nevis
SAINT LUCIA,CASTRIES,St Lucia
SAINT VINCENT and THE GRENADINES,KINGSTOWN,St Vincent the Grenadines
SAMOA,APIA,Samoa
SAN MARINO,SAN MARINO,San Marino
SAO TOME and PRINCIPE,SAO TOME,Sao Tome and Principe
SAUDI ARABIA,RIYADH,Saudi Arabia
SENEGAL,DAKAR,Senegal
SERBIA,BELGRADE,Serbia
SEYCHELLES,VICTORIA,Seychelles
SIERRA LEONE,FREETOWN,Sierra Leone
SINGAPORE,SINGAPORE,Singapore
SLOVAKIA,BRATISLAVA,Slovakia
SLOVENIA,LJUBLJANA,Slovenia
SOLOMON ISLANDS,HONIARA,Solomon Islands
SOMALIA,MOGADISHU,Somalia
SOUTH AFRICA,BLOEMFONTEIN,South Africa
SOUTH KOREA,SEOUL,Korea South
SOUTH SUDAN,JUBA,South Sudan
SPAIN,MADRID,Spain
SRI LANKA,COLOMBO,Sri Lanka
SUDAN,KHARTOUM,Sudan
SURINAME,PARAMARIBO,Suriname
SWEDEN,STOCKHOLM,Sweden
SWITZERLAND,BERN,Switzerland
SYRIA,DAMASCUS,Syria
TAJIKISTAN,DUSHANBE,Tajikistan
TANZANIA,DODOMA,Tanzania
THAILAND,BANGKOK,Thailand
TIMOR-LESTE,DILI,Timor Leste
TOGO,LOME,Togo
TONGA,NUKUʻALOFA,Tonga
TRINIDAD and TOBAGO,PORT OF SPAIN,Trinidad and Tobago
TUNISIA,TUNIS,Tunisia
TURKEY,ANKARA,Turkey
TURKMENISTAN,ASHGABAT,Turkmenistan
TUVALU,FUNAFUTI,Tuvalu
UGANDA,KAMPALA,Uganda
UKRAINE,KIEV,Ukraine
UNITED ARAB EMIRATES,ABU DHABI,United Arab Emirates
UNITED KINGDOM,LONDON,United Kingdom
UNITED STATES OF AMERICA,WASHINGTON D.C.,United States of America
URUGUAY,MONTEVIDEO,Uruguay
UZBEKISTAN,TASHKENT,Uzbekistan
VANUATU,PORT VILA,Vanuatu
VATICAN CITY,VATICAN CITY,Vatican City
VENEZUELA,CARACAS,Venezuela
VIETNAM,HANOI,Vietnam
YEMEN,SANA'A,Yemen
ZAMBIA,LUSAKA,Zambia
ZIMBABWE,HARARE,Zimbabwe
